text,label
i feel as though the universe is happy with my continuing progress,1
i have a feeling im going to produce some really shitty writing for this job,0
i feel in my soul that i belong somewhere else and that the injustice of the pain in this world will be something i am glad to leave when my time comes,1
i feel like the most boring person on earth when i answer nothing much,0
i wanted to be a good friend and make her feel loved,2
i feel hopeless and am battling the thought that i should kill myself not count,0
i feel privileged to have these ladies in my life,1
i have to call on something far bigger than myself and to remember that when i m feeling like i m an ugly duckling perhaps i m actually a swan,0
im feeling generous today i will reward you guys a magic cape,1
i feel blank as if i am only waiting for something i always give up i cant my feet in at least to a place i can do much more,0
i get through feeling weepy about it sometimes i get resentful about it,0
i feel respected when other people and myself honor my need for empty spaces margins in life,1
i guess i had a lot to offer beyond writing the script and i feel very privileged that i still had some ownership of the story right the way through,1
i just had two slices and feel horrible maybe tomorrow ill skip and wednesday have it again but maybe slice per day,0
i went to voice lesson feeling hesitant and teacher nicole wasnt even there,4
i am eating more than i ever have before and i am eating delicious nutritious food im saving money feeling fantastic happy and motivated and i actually feel like this is a lifestyle i can maintain which is the key here,1
i aint changin cuz you feel the need to complain hated by many confronted by none keep runnin that trap and youll get busted in ur grill you know who im talking bout if your hearts beating faster then you know this shit is for you i know i put fear in bitches hearts dont fuck wit it,0
i know how i feel about spamming when it happens to me and i was not amused,1
i just feel like ive missed out on a lot lately,0
i feel the crowd supporting a great tennis match and that s it,1
i starting to feel jaded so whenever one of these games makes it to the psn i tend to gobble it up,0
i feel so weird climbing up to my face and then into mouth,5
i cry a lot and then feel disgusted with myself for wasting a lot of good make up on a no good loser,3
i started to become really tired of feeling so dull all the time,0
i slapped him because feelings are dumb,0
i have not been able to put time and effort into ballet class in the past month i am feeling the need to put effort into something creative and this is as close as i can get,1
i just feel like if youre going to write about something as vile and putrescent and deeply nightmarish as rape youd better do it right,3
i start to feel disheartened,0
i feel almost frantic at all that needs to be done before we leave,4
i still feel heartbroken over it but after a night of prayer i know that i trust gods plans more than i trust my own,0
i keep reminding myself that even when i feel grumpy i can choose one of the above tactics to keep those feelings at bay until the sunshine returns,3
i feel like i have lost a piece of myself and i struggle to try and remember who i am,0
i feel a little shy about slapping my tummy all over the internet i feel compelled to give back,4
i didnt feel a perfect connection like i had hoped i would and she was kind of far but i had trouble finding someone with availability who also takes our insurance,1
i am is gone i actually feel devastated,0
i find it helpful to write when i feel frustrated and have symptoms that i cant control,3
i feel he is kind of boring,0
i needed but i m feeling greedy,3
i did not meet up with shermine to study today because im feeling exhausted and i think its okay for my brain to go on a trip for a day,0
i feel impatient and out of place,3
i can do today to awaken that feeling is to listen to the songs over again and submerge myself to the thoughts of the sweet memories of those days,1
i feel i have finally achieved the delicate balance and the art of letting go,2
i said i was feeling glazey aka having one of these strange episodes ive just been describing,5
i really like him he has good morals and is very nice to me and respectful but its like i feel like i still belong to brad and i couldnt picture myself with eric because hes too innocent,1
i feel so festive at the moment,1
i feel honoured just for the nomination and i would like to say thank you to you all who follow the blog and read us,1
i am beginning to feel a real sincere sadness,1
i feel very passionate about it and really enjoy it,1
im sure that i wasnt the only one to feel that this was inexcusably rude and cruel behaviour and that the self important lawyer needed to be taken down a peg or two,3
i enjoyed reading these words of advice and feel there are some useful tips in here for us all,1
i got used to the feeling pretty quickly,1
i feel so privileged to have been gifted your more private works die in a fire and if you weren t a woman i would drive to alabama and beat the shit out of you but i have not shared them until now as i felt they would not be palatable to the general public,1
i feel quite regretful i could not show him the determined and strong side of me for that final km,0
i go ive been feeling slightly paranoid yesterday and today,4
i am feeling really shitty this weekend i think it as a little bit to do with my time of the month is rounding the corner but iv also been getting a little settlements this weekend and i am sure that is most of the pro balm but i also think well no i know its my stepbrother jamie,0
i left the mile aid station feeling totally rotten,0
i feel honored to be a part of this profession,1
i have found myself in past relationships where no matter how much of your heart and soul and feelings you poured out it was not enough and that can often leave you feeling empty and drained,0
i just feel so irked and selfish in comparison,3
im definitely starting to feel agitated,3
i feel confident at any time of the day,1
i suppose i feel outed by him i have been in the past an ungrateful wretch but never in my dealings with him or his party precisely because they all seem content to sit around and poombah s,0
i feel havent really come together im convinced by times like these that it will all be alright in the end,1
i couldnt help but feel the hesitant sensation that touches you when you wonder whether or not to be insulted by such an observation,4
i almost never notice that but as my body moves forward i feel and hear the dull thud inside of me,0
i started to feel worthless and i started to feel cold and distant,0
i am working and i feel very foolish not to control my feelings and frustration,0
i know that some like the feeling of being superior to the word when they say what this really means in the hebrew or greek,1
i feel so hopeless so helpless,0
i also discovered that i m so opinionated that it doesn t really matter what we re talking about i still feel passionate and energetic,2
i came home and got my legs elevated and spent the night feeling sorry for myself,0
i guess you can say that i am feeling super inadequate when it comes to me,1
im self assured and feel fantastic about my appearance,1
i hate feeling more superior than a man,1
i had feeling for him because i just knew one of my friends liked him,2
